City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sinnamary,GF,77.22,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
1,Atuona,PF,77.18,scattered clouds,-9.8,-139.0333,Villa Enata
2,Manokwari,ID,83.05,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
6,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
11,Sulangan,PH,78.6,light rain,11.1373,123.7228,Maia's Beach Resort
14,Inta,RU,77.5,clear sky,66.0317,60.1659,Apartments in Inta city
17,Meulaboh,ID,84.52,broken clouds,4.1363,96.1285,Kost Pria
18,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
22,Dingle,PH,75.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
27,Kudahuvadhoo,MV,82.6,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
31,Kupang,ID,85.17,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
34,Pondicherry,IN,83.62,overcast clouds,11.93,79.83,Villa Shanti for food lovers
35,Pekalongan,ID,89.01,few clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
39,Samarinda,ID,77.86,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
40,Yako,BF,76.78,light rain,12.9667,-2.2667,CADAAY
41,Udalguri,IN,87.87,overcast clouds,26.7667,92.1333,TREBLA
46,Chifeng,CN,88.39,scattered clouds,42.2683,118.9636,Junyu Tiancheng Hotel
47,Bethel,US,79.16,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
54,Gondanglegi,ID,86.56,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
60,Kathmandu,NP,82.62,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
