,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description,Wind Speed
0,Sinnamary,GF,5.3833,-52.95,77.22,85,38,scattered clouds,9.06
1,Atuona,PF,-9.8,-139.0333,77.18,75,25,scattered clouds,19.86
2,Manokwari,ID,-0.8667,134.0833,83.05,65,89,overcast clouds,4.7
3,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,broken clouds,8.05
4,Avarua,CK,-21.2078,-159.775,71.65,78,75,broken clouds,12.66
5,Beringovskiy,RU,63.05,179.3167,54.3,85,100,overcast clouds,5.19
6,Hilo,US,19.7297,-155.09,80.28,84,100,overcast clouds,6.91
7,Yellowknife,CA,62.456,-114.3525,59.56,100,75,broken clouds,4.0
8,Berlevag,NO,70.8578,29.0864,50.0,93,75,broken clouds,17.27
9,Georgetown,MY,5.4112,100.3354,87.73,79,20,few clouds,9.22
10,Rikitea,PF,-23.1203,-134.9692,69.84,67,100,overcast clouds,26.02
11,Sulangan,PH,11.1373,123.7228,78.6,84,100,light rain,7.76
12,Geraldton,AU,-28.7667,114.6,64.81,72,100,overcast clouds,14.97
13,Akureyri,IS,65.6835,-18.0878,46.33,93,20,few clouds,6.91
14,Inta,RU,66.0317,60.1659,77.5,53,0,clear sky,16.37
15,Thompson,CA,55.7435,-97.8558,59.16,77,75,broken clouds,6.91
16,Krasnoselkup,RU,65.7,82.4667,62.29,63,90,overcast clouds,12.5
17,Meulaboh,ID,4.1363,96.1285,84.52,66,81,broken clouds,4.61
18,Vaini,TO,-21.2,-175.2,77.16,100,40,scattered clouds,5.75
19,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,overcast clouds,4.61
20,Suluktu,KG,39.9337,69.57,80.08,25,0,clear sky,7.02
21,Tasiilaq,GL,65.6145,-37.6368,44.76,90,100,light rain,20.27
22,Dingle,PH,10.9995,122.6711,75.81,92,100,overcast clouds,2.17
23,Komsomolskiy,UZ,40.4272,71.7189,93.06,18,0,clear sky,10.09
24,Mataura,NZ,-46.1927,168.8643,40.48,95,99,overcast clouds,3.49
25,Anadyr,RU,64.75,177.4833,54.1,93,75,light rain,8.95
26,Nome,US,64.5011,-165.4064,48.27,87,100,overcast clouds,9.22
27,Kudahuvadhoo,MV,2.6708,72.8944,82.6,75,98,overcast clouds,14.52
28,Ilulissat,GL,69.2167,-51.1,44.62,93,100,overcast clouds,0.0
29,Vanavara,RU,60.34,102.2797,64.15,58,100,overcast clouds,9.93
30,Bukama,CD,-9.2,25.85,67.1,42,1,clear sky,1.74
31,Kupang,ID,-10.1667,123.5833,85.17,61,7,clear sky,9.86
32,Richards Bay,ZA,-28.783,32.0377,65.82,89,98,overcast clouds,8.93
33,Albany,US,42.6001,-73.9662,76.59,92,12,few clouds,3.47
34,Pondicherry,IN,11.93,79.83,83.62,67,100,overcast clouds,9.6
35,Pekalongan,ID,-6.8886,109.6753,89.01,61,11,few clouds,5.55
36,Qaanaaq,GL,77.484,-69.3632,36.28,66,10,clear sky,3.8
37,Upernavik,GL,72.7868,-56.1549,38.93,90,29,scattered clouds,12.62
38,Aklavik,CA,68.2191,-135.0107,46.38,80,59,broken clouds,10.38
39,Samarinda,ID,-0.5,117.15,77.86,87,100,overcast clouds,1.28
40,Yako,BF,12.9667,-2.2667,76.78,79,24,light rain,6.15
41,Udalguri,IN,26.7667,92.1333,87.87,74,98,overcast clouds,4.7
42,Christchurch,NZ,-43.5333,172.6333,44.91,88,100,light rain,28.77
43,Barrow,US,71.2906,-156.7887,39.22,81,0,clear sky,5.75
44,Rio Gallegos,AR,-51.6226,-69.2181,32.05,100,75,mist,1.14
45,Chitipa,MW,-9.7024,33.2697,56.41,71,0,clear sky,4.14
46,Chifeng,CN,42.2683,118.9636,88.39,53,33,scattered clouds,11.54
47,Bethel,US,41.3712,-73.414,79.16,88,0,clear sky,5.75
48,Ulladulla,AU,-35.35,150.4667,57.99,64,15,few clouds,12.37
49,Ushuaia,AR,-54.8,-68.3,29.86,86,0,clear sky,2.3
50,Victoria,HK,22.2855,114.1577,92.97,73,53,broken clouds,13.0
51,Airai,TL,-8.9266,125.4092,75.72,44,17,few clouds,5.03
52,Saint-Augustin,CA,51.226,-58.6502,63.14,64,100,overcast clouds,16.04
53,Guanambi,BR,-14.2233,-42.7814,70.74,53,30,scattered clouds,13.71
54,Gondanglegi,ID,-7.7479,112.0132,86.56,57,64,broken clouds,15.43
55,Hermanus,ZA,-34.4187,19.2345,56.8,86,70,broken clouds,14.88
56,Bluff,NZ,-46.6,168.3333,39.79,66,98,overcast clouds,17.22
57,Hastings,GB,50.8552,0.5729,60.53,77,32,scattered clouds,5.66
58,Astorga,BR,-23.2325,-51.6656,64.78,67,100,overcast clouds,8.95
59,Kununurra,AU,-15.7667,128.7333,94.98,24,22,few clouds,5.75
60,Kathmandu,NP,27.7167,85.3167,82.62,65,40,scattered clouds,2.3
61,Nova Granada,BR,-20.5339,-49.3142,70.05,39,93,overcast clouds,5.19
62,New Norfolk,AU,-42.7826,147.0587,49.91,66,96,overcast clouds,2.91
63,San Cristobal,VE,7.7669,-72.225,68.18,93,86,overcast clouds,2.8
64,Havelock,US,34.8791,-76.9013,84.15,89,1,clear sky,5.73
65,Sept-Iles,CA,50.2001,-66.3821,61.32,88,100,overcast clouds,5.75
66,Port Augusta,AU,-32.5,137.7667,61.77,39,5,clear sky,7.23
67,La Grande,US,45.3246,-118.0877,65.91,42,0,clear sky,2.73
68,Hasaki,JP,35.7333,140.8333,84.29,79,36,scattered clouds,10.85
69,Busselton,AU,-33.65,115.3333,58.5,59,23,few clouds,10.89
70,Lagoa,PT,39.05,-27.9833,73.8,83,13,light rain,10.8
71,Kapaa,US,22.0752,-159.319,80.92,79,100,overcast clouds,4.61
72,Cidreira,BR,-30.1811,-50.2056,54.7,91,100,overcast clouds,8.63
73,Ribeira Grande,PT,38.5167,-28.7,74.86,83,43,light rain,14.38
74,Cape Town,ZA,-33.9258,18.4232,57.38,79,11,few clouds,1.99
75,Ugoofaaru,MV,5.6667,73.0,81.03,82,100,overcast clouds,16.28
76,Butaritari,KI,3.0707,172.7902,81.03,80,91,moderate rain,14.23
77,Leningradskiy,RU,69.3833,178.4167,33.55,99,100,light snow,14.56
78,Hobart,AU,-42.8794,147.3294,50.25,77,40,scattered clouds,6.91
79,Muisne,EC,0.6,-80.0333,73.6,86,100,overcast clouds,7.52
80,Semey,KZ,50.4111,80.2275,80.82,28,0,clear sky,17.9
81,Punta Arenas,CL,-53.15,-70.9167,32.11,93,100,mist,5.75
82,Lensk,RU,60.7253,114.9278,52.14,82,93,overcast clouds,9.26
83,Saint-Nazaire,FR,47.2833,-2.2,61.07,73,0,clear sky,9.22
84,Ahuimanu,US,21.4447,-157.8378,80.31,74,20,few clouds,8.05
85,Les Cayes,HT,18.2,-73.75,78.51,82,64,broken clouds,1.41
86,Sao Filipe,CV,14.8961,-24.4956,78.35,85,88,light rain,1.9
87,Bredasdorp,ZA,-34.5322,20.0403,54.88,90,94,overcast clouds,14.63
88,Ponta Do Sol,PT,32.6667,-17.1,70.72,81,0,clear sky,3.94
89,Kaitangata,NZ,-46.2817,169.8464,38.86,82,100,overcast clouds,7.76
90,Jamestown,US,42.097,-79.2353,74.79,73,0,clear sky,4.61
91,Constitucion,CL,-35.3333,-72.4167,51.51,92,82,broken clouds,19.17
92,Castro,BR,-24.7911,-50.0119,52.47,97,100,overcast clouds,3.47
93,Willmar,US,45.1219,-95.0433,69.82,73,100,overcast clouds,8.05
94,Mar Del Plata,AR,-38.0023,-57.5575,46.09,75,100,overcast clouds,1.01
95,Moose Factory,CA,51.2585,-80.6094,57.2,58,75,broken clouds,12.66
96,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.54,80,93,overcast clouds,10.33
97,Hokitika,NZ,-42.7167,170.9667,53.19,81,95,moderate rain,5.17
98,Nikolskoye,RU,59.7035,30.7861,60.69,84,100,overcast clouds,5.06
99,East London,ZA,-33.0153,27.9116,58.14,100,100,drizzle,12.66
100,Labuhan,ID,-6.8844,112.2051,85.77,60,83,broken clouds,3.76
101,Hinton,CA,53.4001,-117.5857,61.23,59,99,overcast clouds,3.91
102,Tierra Blanca,HN,14.5833,-88.5833,67.75,100,97,overcast clouds,1.74
103,Grenada,ES,37.1882,-3.6067,67.91,54,0,clear sky,1.01
104,Loreto,MX,22.2667,-101.9667,60.62,78,50,scattered clouds,18.68
105,Kruisfontein,ZA,-34.0033,24.7314,55.89,88,100,overcast clouds,18.45
106,Yanam,IN,16.7333,82.2167,77.58,90,100,moderate rain,9.06
107,Ixtapa,MX,20.7,-105.2,77.23,88,100,overcast clouds,0.0
108,Iquique,CL,-20.2208,-70.1431,59.04,74,2,clear sky,6.62
109,Sausar,IN,21.65,78.7833,82.15,80,99,overcast clouds,3.76
110,Toda Raisingh,IN,26.0252,75.4849,91.17,52,100,overcast clouds,1.48
111,Bongandanga,CD,1.5,21.05,71.19,96,98,overcast clouds,4.14
112,Yining,CN,29.0361,114.5636,100.71,36,82,broken clouds,6.04
113,Salalah,OM,17.0151,54.0924,75.29,100,100,light intensity drizzle,9.22
114,Kutum,SD,14.2,24.6667,74.93,61,99,overcast clouds,4.88
115,Kavieng,PG,-2.5744,150.7967,83.1,73,53,light rain,8.7
116,Namatanai,PG,-3.6667,152.4333,82.83,73,100,light rain,6.73
117,Luwuk,ID,-0.9516,122.7875,83.01,77,89,light rain,4.85
118,Carnarvon,AU,-24.8667,113.6333,68.67,47,0,clear sky,13.35
119,Gazanjyk,TM,39.2446,55.5154,86.85,36,53,broken clouds,4.09
120,Evensk,RU,61.95,159.2333,54.41,88,100,overcast clouds,5.23
121,Tiksi,RU,71.6872,128.8694,42.58,84,100,overcast clouds,11.81
122,Plattsburgh,US,44.6995,-73.4529,79.56,84,0,clear sky,3.44
123,Saint-Philippe,RE,-21.3585,55.7679,72.99,67,3,clear sky,5.82
124,Khatanga,RU,71.9667,102.5,60.21,71,98,light rain,13.6
125,Arteaga,MX,18.4667,-102.4167,62.28,89,100,overcast clouds,3.44
126,Nanortalik,GL,60.1432,-45.2371,42.49,95,78,broken clouds,11.52
127,Port Elizabeth,ZA,-33.918,25.5701,58.1,97,100,overcast clouds,19.57
128,Mutoko,ZW,-17.397,32.2268,51.33,60,0,clear sky,3.56
129,Chuy,UY,-33.6971,-53.4616,46.98,87,97,overcast clouds,7.09
130,Vardo,NO,70.3705,31.1107,49.98,100,100,drizzle,11.5
131,Nanning,CN,22.8167,108.3167,90.05,55,100,overcast clouds,9.17
132,Lebu,CL,-37.6167,-73.65,48.96,90,100,overcast clouds,1.34
133,Opuwo,NA,-18.0607,13.84,59.22,34,1,clear sky,3.96
134,Dikson,RU,73.5069,80.5464,41.11,97,100,overcast clouds,10.18
135,Pindwara,IN,24.8,73.0667,85.93,67,94,overcast clouds,2.35
136,Decatur,US,39.8403,-88.9548,80.65,89,0,clear sky,10.36
137,Norman Wells,CA,65.282,-126.8329,59.04,63,75,broken clouds,3.44
138,Matara,LK,5.9485,80.5353,82.36,73,100,overcast clouds,14.63
139,Chiredzi,ZW,-21.05,31.6667,61.66,45,0,clear sky,4.12
140,Charters Towers,AU,-20.1,146.2667,78.37,36,30,scattered clouds,11.07
141,Black River,JM,18.0264,-77.8487,78.15,82,89,overcast clouds,4.34
142,Provideniya,RU,64.3833,-173.3,48.99,94,82,light rain,9.93
143,Beyneu,KZ,45.3167,55.2,85.91,16,100,overcast clouds,9.73
144,Saint Anthony,US,45.0205,-93.218,71.53,89,100,overcast clouds,4.61
145,Baghdad,IQ,33.3406,44.4009,96.71,24,0,dust,12.66
146,Slavyanka,RU,42.8633,131.3847,76.73,86,100,overcast clouds,6.87
147,Kodiak,US,57.79,-152.4072,62.11,51,20,few clouds,5.75
148,Lorengau,PG,-2.0226,147.2712,83.73,71,93,overcast clouds,8.3
149,Moree,AU,-29.4667,149.85,57.85,48,86,overcast clouds,12.73
150,Iturama,BR,-19.7281,-50.1956,75.54,28,88,overcast clouds,6.33
151,Port Alfred,ZA,-33.5906,26.891,57.18,95,100,overcast clouds,8.99
152,At-Bashi,KG,41.1702,75.8106,74.12,29,0,clear sky,1.99
153,Kahului,US,20.8947,-156.47,82.42,71,20,few clouds,3.44
154,Hithadhoo,MV,-0.6,73.0833,82.56,68,100,overcast clouds,7.56
155,Menongue,AO,-14.6585,17.691,51.73,49,0,clear sky,2.95
156,Puerto Boyaca,CO,5.9758,-74.5885,72.25,93,89,overcast clouds,0.47
157,Pernik,BG,42.6,23.0333,67.69,55,20,few clouds,4.0
158,Saskylakh,RU,71.9167,114.0833,55.65,54,100,overcast clouds,8.93
159,Uthal,PK,25.8072,66.6219,87.15,66,74,broken clouds,2.06
160,Ballina,AU,-28.8667,153.5667,69.01,44,3,clear sky,0.43
161,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,90,18,few clouds,5.57
162,Torbay,CA,47.6666,-52.7314,63.57,93,20,few clouds,10.36
163,Tuensang,IN,26.2833,94.8333,89.62,48,19,few clouds,2.15
164,Inuvik,CA,68.3499,-133.7218,49.06,87,100,overcast clouds,6.91
165,Ulaanbaatar,MN,47.9077,106.8832,64.53,39,20,few clouds,6.71
166,Ahipara,NZ,-35.1667,173.1667,57.11,95,100,moderate rain,5.7
167,Basco,PH,20.4487,121.9702,85.28,73,89,overcast clouds,15.48
168,Belozerskoye,RU,55.8214,65.5842,75.69,56,95,overcast clouds,8.84
169,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,85,overcast clouds,5.99
170,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,100,75,moderate rain,15.39
171,Sitka,US,57.0531,-135.33,57.09,94,100,mist,11.5
172,Naze,JP,28.3667,129.4833,86.92,73,14,few clouds,2.68
173,Laguna,US,38.421,-121.4238,76.44,66,0,clear sky,11.5
174,Bilibino,RU,68.0546,166.4372,48.0,69,57,broken clouds,9.89
175,Porto Novo,BJ,6.4965,2.6036,71.4,90,9,clear sky,5.79
176,Tilichiki,RU,60.4667,166.1,64.65,55,100,overcast clouds,8.46
177,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,73.94,73,97,overcast clouds,9.51
178,Broken Hill,AU,-31.95,141.4333,59.25,40,2,clear sky,9.64
179,Bereda,ES,43.2686,-7.5406,64.15,100,89,overcast clouds,5.08
180,Jinchang,CN,38.4953,102.1739,81.52,35,97,overcast clouds,12.88
181,Toktogul,KG,41.8708,72.9402,77.97,37,18,few clouds,2.21
182,Sarkand,KZ,45.41,79.9186,83.53,28,67,broken clouds,7.4
183,Shintomi,JP,32.0785,131.4723,88.92,70,69,broken clouds,7.49
184,Khandbari,NP,27.3747,87.2039,84.15,70,13,few clouds,4.5
185,La Libertad,EC,-2.2333,-80.9,68.36,84,88,overcast clouds,10.42
186,Biak,ID,-0.9131,122.8766,80.46,76,89,light rain,5.1
187,Iqaluit,CA,63.7506,-68.5145,44.33,87,75,broken clouds,3.44
188,Faanui,PF,-16.4833,-151.75,77.85,71,86,overcast clouds,25.28
189,Tshikapa,CD,-6.4167,20.8,69.4,38,20,few clouds,1.92
190,Filadelfia,US,39.9523,-75.1638,81.68,87,75,broken clouds,9.22
191,Orcopampa,PE,-15.2661,-72.3417,40.98,55,60,broken clouds,2.68
192,Dwarka,IN,22.2394,68.9678,84.06,78,92,overcast clouds,10.02
193,Rocha,UY,-34.4833,-54.3333,43.16,88,100,overcast clouds,2.91
194,Lavrentiya,RU,65.5833,-171.0,48.51,78,95,overcast clouds,6.31
195,Vangaindrano,MG,-23.35,47.6,66.99,86,4,clear sky,4.52
196,Wunsiedel,DE,50.0333,12.0167,53.74,82,0,clear sky,4.18
197,Kataysk,RU,56.289,62.5841,74.01,61,100,overcast clouds,7.16
198,Udala,ES,43.0778,-2.5125,62.38,91,28,scattered clouds,1.59
199,Pangnirtung,CA,66.1451,-65.7125,43.5,89,98,overcast clouds,2.33
200,Balotra,IN,25.8333,72.2333,91.24,57,96,overcast clouds,6.98
201,Clyde River,CA,70.4692,-68.5914,37.63,100,100,light rain,18.41
202,Barcelos,PT,41.5388,-8.6151,65.84,94,5,clear sky,1.1
203,Omboue,GA,-1.5746,9.2618,71.1,81,100,overcast clouds,6.38
204,Mahebourg,MU,-20.4081,57.7,75.25,73,40,scattered clouds,11.5
205,Bengkulu,ID,-3.8004,102.2655,83.59,65,10,clear sky,7.05
206,Kargil,IN,34.5667,76.1,64.56,47,9,clear sky,4.21
207,Cilegon,ID,-6.0174,106.0538,84.63,65,7,clear sky,7.2
208,Quatre Cocos,MU,-20.2078,57.7625,75.09,76,56,light rain,9.64
209,Yichang,CN,30.7144,111.2847,101.39,42,97,overcast clouds,3.94
210,Kidal,ML,18.4411,1.4078,86.27,38,83,broken clouds,4.9
211,Haines Junction,CA,60.7522,-137.5108,53.55,62,100,overcast clouds,6.91
212,Port Hardy,CA,50.6996,-127.4199,57.2,88,0,fog,2.3
213,Padang,ID,-0.9492,100.3543,86.05,61,58,broken clouds,5.97
214,Gat,IL,31.61,34.7642,80.08,100,1,clear sky,3.11
215,Chiche,GT,15.0086,-91.065,60.62,99,97,overcast clouds,2.71
216,Destin,US,30.3935,-86.4958,82.96,83,0,clear sky,9.22
217,Bandarbeyla,SO,9.4942,50.8122,80.47,56,51,broken clouds,29.55
218,Cabo San Lucas,MX,22.8909,-109.9124,84.51,80,68,broken clouds,1.01
219,Kalat,PK,29.0225,66.5916,78.4,24,62,broken clouds,5.39
220,Asau,RO,46.4333,26.4,69.28,72,30,scattered clouds,6.38
221,Port Lincoln,AU,-34.7333,135.8667,57.49,52,6,clear sky,12.03
222,Abapo,BO,-18.8333,-63.4667,59.83,88,90,overcast clouds,2.39
223,Luderitz,NA,-26.6481,15.1594,56.5,90,88,overcast clouds,9.75
224,Puerto Leguizamo,CO,-0.1934,-74.7819,71.2,93,80,broken clouds,1.54
225,Tortoli,IT,39.9256,9.6572,80.42,74,20,few clouds,14.97
226,Itaituba,BR,-4.2761,-55.9836,71.47,92,10,clear sky,2.15
227,Teknaf,BD,20.8624,92.3058,88.12,67,35,scattered clouds,12.28
228,Gigante,CO,2.3868,-75.5453,66.51,84,64,broken clouds,3.29
229,Bose,IT,45.4612,8.0137,69.21,89,69,broken clouds,5.59
230,Esperance,AU,-33.8667,121.9,53.44,88,81,light rain,17.38
231,Thinadhoo,MV,0.5333,72.9333,82.65,73,100,overcast clouds,9.01
232,Camapua,BR,-19.5314,-54.0439,71.46,31,96,overcast clouds,0.43
233,Dalnegorsk,RU,44.5604,135.5701,82.89,65,77,broken clouds,6.51
234,Invermere,CA,50.5167,-116.0354,61.92,47,5,clear sky,3.78
235,Mgachi,RU,51.05,142.2667,66.67,79,100,overcast clouds,6.67
236,Bom Jesus,BR,-9.0744,-44.3586,68.54,45,1,clear sky,2.93
237,Nemuro,JP,43.3236,145.575,64.94,92,94,overcast clouds,14.81
238,Beloha,MG,-25.1667,45.05,66.0,79,26,scattered clouds,2.59
239,Bathsheba,BB,13.2167,-59.5167,79.41,97,20,few clouds,17.27
240,Nishihara,JP,26.1842,127.7558,89.65,66,40,scattered clouds,10.36
241,Mardan,PK,34.2019,72.0525,89.4,63,49,scattered clouds,4.41
242,Krasnomayskiy,RU,57.6194,34.4099,56.43,98,100,light rain,6.11
243,Bodaybo,RU,57.8506,114.1933,52.93,86,99,light rain,5.35
244,Kolokani,ML,13.5728,-8.0339,73.33,87,38,scattered clouds,6.67
245,Narok,KE,-1.0783,35.8601,57.2,75,71,broken clouds,4.79
246,Roma,US,43.2128,-75.4557,77.72,95,75,broken clouds,0.0
247,Nigde,TR,37.8333,34.75,68.99,51,0,clear sky,1.5
248,Yulara,AU,-25.2406,130.9889,67.28,22,0,clear sky,10.71
249,Pilikwe,BW,-22.799,27.1938,59.59,41,19,few clouds,3.71
250,Jinxiang,CN,27.4327,120.6062,88.3,67,1,clear sky,9.55
251,Seoul,KR,37.5683,126.9778,90.79,72,75,broken clouds,11.5
252,Arlit,NE,18.7369,7.3853,93.02,26,44,scattered clouds,8.48
253,Talnakh,RU,69.4865,88.3972,56.21,65,13,few clouds,7.92
254,Buarcos,PT,40.166,-8.8768,65.66,95,7,clear sky,4.65
255,Wellington,NZ,-41.2866,174.7756,58.66,87,75,broken clouds,13.8
256,Grand-Lahou,CI,5.1367,-5.0242,72.14,81,3,clear sky,6.02
257,Ancud,CL,-41.8697,-73.8203,42.22,81,100,overcast clouds,7.05
258,Arkadak,RU,51.9326,43.4978,77.95,40,21,few clouds,10.0
259,Naron,ES,43.5167,-8.1528,66.67,83,13,few clouds,8.93
260,Lasa,IT,46.6166,10.7002,59.68,90,100,overcast clouds,0.65
261,Aketi,CD,2.7388,23.7833,71.04,99,100,overcast clouds,1.99
262,Talakan,RU,50.3167,130.3667,83.32,42,74,broken clouds,5.28
263,Qurayyat,SA,31.3318,37.3428,80.78,47,0,clear sky,11.5
264,Okato,NZ,-39.2,173.8833,58.17,86,78,broken clouds,5.99
265,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,93,100,light rain,19.57
266,Alofi,NU,-19.0595,-169.9187,75.09,78,100,overcast clouds,5.75
267,Tonekabon,IR,36.8163,50.8738,82.35,66,28,scattered clouds,6.02
268,Rawson,AR,-43.3002,-65.1023,37.69,100,100,light rain,0.0
269,Corinth,GR,37.9407,22.9573,85.89,53,1,clear sky,4.88
270,Pacific Grove,US,36.6177,-121.9166,64.51,82,0,clear sky,3.44
271,Perth,AU,-31.9333,115.8333,65.08,52,40,scattered clouds,14.97
272,Sala Consilina,IT,40.3912,15.5989,71.46,55,0,clear sky,3.06
273,Stevens Point,US,44.5236,-89.5746,75.99,80,75,broken clouds,1.01
274,Mahon,ES,39.8885,4.2658,77.56,83,0,clear sky,5.75
275,Paamiut,GL,61.994,-49.6678,40.73,91,54,broken clouds,13.62
276,Isangel,VU,-19.55,169.2667,80.46,73,2,clear sky,6.85
277,Taltal,CL,-25.4,-70.4833,59.13,59,0,clear sky,3.47
278,Thivai,GR,38.325,23.3189,82.8,58,1,clear sky,7.4
279,Asfi,MA,32.2994,-9.2372,67.77,91,0,clear sky,13.96
280,Saint George,US,37.1041,-113.5841,89.64,28,0,clear sky,8.99
281,Santo Antonio Do Ica,BR,-3.1022,-67.9397,72.01,97,80,broken clouds,1.59
282,Fortuna,US,40.5982,-124.1573,61.92,90,100,overcast clouds,3.44
283,Blagoyevo,RU,63.3667,47.9167,76.44,50,20,few clouds,9.66
284,Namibe,AO,-15.1961,12.1522,59.94,90,1,clear sky,7.94
285,Corcoran,US,36.098,-119.5604,84.58,37,0,clear sky,6.64
286,Atbasar,KZ,51.8,68.3333,76.78,40,52,broken clouds,9.66
287,North Myrtle Beach,US,33.816,-78.68,78.85,94,0,clear sky,3.44
288,Mudgee,AU,-32.5943,149.5871,55.78,71,72,broken clouds,7.81
289,Vostok,RU,46.4856,135.8833,80.6,50,98,overcast clouds,4.76
290,Tautira,PF,-17.7333,-149.15,75.72,72,82,broken clouds,25.55
291,Denpasar,ID,-8.65,115.2167,82.06,83,75,broken clouds,8.05
292,Tessalit,ML,20.1986,1.0114,84.92,46,14,few clouds,11.3
293,Hambantota,LK,6.1241,81.1185,84.54,79,40,scattered clouds,11.5
294,Ngora,UG,1.4314,33.7772,68.38,71,90,overcast clouds,2.91
295,Pio Xii,BR,-3.8325,-45.1525,71.08,98,49,scattered clouds,3.29
296,Lompoc,US,34.6391,-120.4579,63.01,86,0,clear sky,21.0
297,Panguipulli,CL,-39.6333,-72.3333,37.17,99,100,moderate rain,2.89
298,Saint-Louis,SN,16.3333,-15.0,83.3,69,70,light rain,9.73
299,Qaqortoq,GL,60.7167,-46.0333,42.96,92,70,broken clouds,2.53
300,Kysyl-Syr,RU,63.8986,122.7617,51.58,98,100,light rain,10.54
301,Tura,IN,25.5198,90.2201,88.48,59,74,broken clouds,2.24
302,Bubaque,GW,11.2833,-15.8333,77.07,90,100,light rain,12.93
303,Akyab,MM,20.15,92.9,84.97,75,89,overcast clouds,15.57
304,Katherine,AU,-14.4667,132.2667,97.12,26,40,scattered clouds,9.22
305,Itoigawa,JP,37.0333,137.85,92.01,64,84,broken clouds,2.37
306,Tlacojalpan,MX,18.2333,-95.95,73.45,94,98,overcast clouds,6.06
307,Muriwai Beach,NZ,-36.8167,174.45,55.42,96,100,moderate rain,8.93
308,Faya,SA,18.3851,42.4509,66.31,63,99,overcast clouds,4.14
309,Marfino,RU,55.7028,37.3822,77.14,59,0,clear sky,6.71
310,Dicabisagan,PH,17.0818,122.4157,85.37,72,100,heavy intensity rain,8.93
311,Nacala,MZ,-14.5428,40.6728,69.31,81,3,clear sky,9.04
312,Nakamura,JP,32.9833,132.9333,87.58,70,74,broken clouds,4.99
313,Buluang,PH,13.3068,123.3425,76.14,94,100,overcast clouds,3.4
314,Makakilo City,US,21.3469,-158.0858,79.12,70,75,light rain,8.05
315,Cayenne,GF,4.9333,-52.3333,76.08,1,0,clear sky,1.14
316,Pochutla,MX,15.7432,-96.4661,77.83,93,86,overcast clouds,2.95
