City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shimoda,JP,2022-08-03 20:28:07,34.6667,138.95,77.11,89,61,10.18
1,Severo-Kurilsk,RU,2022-08-03 20:23:59,50.6789,156.125,52.84,86,43,7.38
2,Jamestown,US,2022-08-03 20:23:17,42.097,-79.2353,89.94,39,1,8.99
3,Puerto Montt,CL,2022-08-03 20:27:37,-41.4698,-72.9447,45.43,100,100,9.22
4,Port Alfred,ZA,2022-08-03 20:28:07,-33.5906,26.891,62.19,80,51,1.99
5,Pokrovsk,UA,2022-08-03 20:28:08,48.282,37.1758,67.15,86,13,9.89
6,Sarkand,KZ,2022-08-03 20:28:08,45.41,79.9186,68.16,47,30,6.06
7,Sanchursk,RU,2022-08-03 20:28:08,56.9413,47.2499,65.16,80,50,2.71
8,Emporia,US,2022-08-03 20:24:58,38.4039,-96.1817,97.0,46,20,6.91
9,Kavieng,PG,2022-08-03 20:28:09,-2.5744,150.7967,81.86,80,96,17.22
10,Fortuna,US,2022-08-03 20:28:09,40.5982,-124.1573,72.93,76,35,13.8
11,Longyearbyen,SJ,2022-08-03 20:28:09,78.2186,15.6401,49.84,87,75,13.8
12,Kaitangata,NZ,2022-08-03 20:28:10,-46.2817,169.8464,42.73,84,100,4.07
13,Lebu,CL,2022-08-03 20:28:10,-37.6167,-73.65,51.73,75,64,3.98
14,Ushuaia,AR,2022-08-03 20:23:58,-54.8,-68.3,40.66,75,75,1.14
15,Rikitea,PF,2022-08-03 20:28:11,-23.1203,-134.9692,72.12,68,71,16.02
16,Mataura,NZ,2022-08-03 20:28:11,-46.1927,168.8643,44.47,87,100,4.12
17,Mocuba,MZ,2022-08-03 20:28:11,-16.8392,36.9856,62.87,96,2,2.26
18,Atuona,PF,2022-08-03 20:28:12,-9.8,-139.0333,77.27,77,16,13.82
19,Mar Del Plata,AR,2022-08-03 20:23:31,-38.0023,-57.5575,50.88,92,100,9.22
20,Albany,US,2022-08-03 20:28:12,42.6001,-73.9662,90.68,43,7,1.99
21,Ajdabiya,LY,2022-08-03 20:28:12,30.7554,20.2263,86.22,37,0,20.45
22,Komsomolskiy,UZ,2022-08-03 20:28:13,40.4272,71.7189,76.14,39,2,0.6
23,San Patricio,US,2022-08-03 20:28:13,28.017,-97.5169,100.18,37,51,20.69
24,Upernavik,GL,2022-08-03 20:28:13,72.7868,-56.1549,45.18,74,5,10.04
25,Tuatapere,NZ,2022-08-03 20:28:14,-46.1333,167.6833,45.86,81,100,7.65
26,Aklavik,CA,2022-08-03 20:28:14,68.2191,-135.0107,59.0,63,75,3.44
27,Airai,TL,2022-08-03 20:28:14,-8.9266,125.4092,54.52,74,90,2.53
28,Mbanza-Ngungu,CD,2022-08-03 20:28:15,-5.25,14.8667,73.85,54,0,4.45
29,Busselton,AU,2022-08-03 20:28:15,-33.65,115.3333,53.4,73,95,18.68
30,Lavrentiya,RU,2022-08-03 20:28:15,65.5833,-171.0,49.21,81,10,6.42
31,Bredasdorp,ZA,2022-08-03 20:28:15,-34.5322,20.0403,49.06,92,5,6.42
32,Coihaique,CL,2022-08-03 20:25:02,-45.5752,-72.0662,40.95,87,75,8.05
33,Le Vauclin,MQ,2022-08-03 20:28:16,14.5452,-60.8388,84.25,79,75,14.97
34,Liuzhou,CN,2022-08-03 20:28:16,24.3126,109.3892,79.97,83,100,1.45
35,Yar-Sale,RU,2022-08-03 20:28:17,66.8333,70.8333,59.27,64,44,8.75
36,College,US,2022-08-03 20:24:59,64.8569,-147.8028,68.2,76,40,3.44
37,Tautira,PF,2022-08-03 20:28:17,-17.7333,-149.15,76.73,81,58,24.32
38,Maceio,BR,2022-08-03 20:28:17,-9.6658,-35.7353,76.44,88,100,9.22
39,Hasaki,JP,2022-08-03 20:28:18,35.7333,140.8333,73.8,90,100,11.59
40,Kruisfontein,ZA,2022-08-03 20:28:18,-34.0033,24.7314,56.07,85,77,5.12
41,Ahipara,NZ,2022-08-03 20:28:18,-35.1667,173.1667,53.33,91,4,3.51
42,Helong,CN,2022-08-03 20:28:19,42.5397,128.9972,68.43,96,90,3.58
43,Norman Wells,CA,2022-08-03 20:28:19,65.282,-126.8329,59.04,77,75,16.11
44,Pilar,BR,2022-08-03 20:28:20,-9.5972,-35.9567,75.13,95,100,8.97
45,Qaanaaq,GL,2022-08-03 20:29:21,77.484,-69.3632,45.61,62,90,1.05
46,San Cristobal,VE,2022-08-03 20:29:21,7.7669,-72.225,78.98,84,99,4.72
47,Castro,BR,2022-08-03 20:29:21,-24.7911,-50.0119,71.78,52,5,3.56
48,Westport,US,2022-08-03 20:25:06,41.1415,-73.3579,93.09,55,0,8.05
49,New Norfolk,AU,2022-08-03 20:29:22,-42.7826,147.0587,54.91,88,100,5.7
50,Mahebourg,MU,2022-08-03 20:29:22,-20.4081,57.7,70.09,78,40,9.22
51,East London,ZA,2022-08-03 20:29:22,-33.0153,27.9116,71.04,47,97,7.99
52,Tecoanapa,MX,2022-08-03 20:29:23,16.5167,-98.75,86.31,65,7,10.04
53,Bluff,NZ,2022-08-03 20:29:23,-46.6,168.3333,44.8,73,100,18.39
54,Pisco,PE,2022-08-03 20:29:23,-13.7,-76.2167,66.25,63,0,8.05
55,Dikson,RU,2022-08-03 20:29:24,73.5069,80.5464,42.28,100,100,8.68
56,Pevek,RU,2022-08-03 20:29:24,69.7008,170.3133,35.47,99,100,8.14
57,Nam Dinh,VN,2022-08-03 20:29:24,20.4167,106.1667,82.35,81,90,4.23
